Alcatel One Touch C651;.*Alcatel\-CTH3.*
HUAWEI U1215;.*Huawei\/1\.0\/U1215.*
LG E/KG220;.*LG\-KG220.*
Alcatel OT-660;.*Alcatel-OT-660.*
LG LG-KF350-CMCC;.*LG\-KF350.*
T-Mobile SGH-T429;.*Mozilla.*
Nokia 5200;.*Nokia5200.*
Samsung SGH-A736;.*SAMSUNG\-SGH\-A736.*
BlackBerry 8700;.*BlackBerry8700.*
Sony Ericsson U1i;.*SonyEricssonU1.*
Samsung SGH-X540;.*SAMSUNG\-SGH\-X540.*
Motorola MOT-V171;.*MOT\-V171.*
Nokia 5500d;.*Nokia5500.*
Nokia E65-1;.*NokiaE65.*
Nokia N93;.*NokiaN93.*
Samsung SGH-C426;.*SAMSUNG\-SGH\-C426.*
Samsung SGH-E760;.*SAMSUNG\-SGH\-E760.*
Samsung SGH-X566;.*SAMSUNG\-SGH\-X566.*
Alcatel OT-800A;.*Alcatel-OT-800.*
Motorola U9;.*MOT-U9.*
Sony Ericsson W910i;.*SonyEricssonW910i.*
Motorola E1070;.*MOT\-E1070.*
Sony Ericsson Z750i;.*SonyEricssonZ750.*
Motorola V557;.*MOT\-V557.*
LG LG/KF310/v1.0;.*LG\-KF310.*
Nokia N7020;.*Nokia7020.*
Nokia N97;.*NokiaN97.*
Alcatel OneTouch652;.*Alcatel\-OT\-C652.*
HP iPAQ 910;.*HPiPAQ910.*
Sony Ericsson K608i;.*SonyEricssonK608.*
BlackBerry 7230;.*BlackBerry7230.*
BlackBerry 7730;.*BlackBerry7730.*
Handspring Treo600;.*Blazer\ 3\.0.*
Alcatel OT-255A;.*Alcatel\-OT\-255.*
Nokia 6700s;.*Nokia6700.*
LG B2100;.*LG\-B2100.*
LG C2000;.*LG\-C2000.*
LG G4015;.*LG\-G4015.*
LG G4050;.*LG\-G4050.*
LG L1200;.*LG\-L1200.*
LG ME591D;.*LG\-ME591.*
LG MG130;.*LG\-MG130.*
LG MG185;.*LG\-MG185.*
LG MG200d;.*LG\-MG200d.*
LG LG/GT505/v1.0;.*LG\/GT505.*
Samsung SGH-B110L;.*SAMSUNG\-SGH\-B110.*
LG LGE/CT810;.*LG\-CT810.*
Nokia 6233;.*Nokia6233.*
LG LGE/KP130;.*LG\-KP130.*
LG LG-GW525;.*LG-GW525.*
Motorola MOT-W231;.*MOT\-W231.*
Motorola MOT-WX450;.*MOT\-WX450.*
Alcatel OT-S521A;.*Alcatel\-OT\-S521.*
Motorola C385;.*MOT\-C385.*
LG LG/KU380;.*LG\-KU380.*
RIM BlackBerry 9530;.*BlackBerry9530.*
Motorola E1;.*MOT\-E1\ .*
Nokia 7500;.*Nokia7500.*
Samsung SGH-X656;.*SAMSUNG\-SGH\-X656.*
Motorola E770v;.*MOT\-E770.*
Motorola L7;.*MOT\-L7.*
Motorola PEBL U6;.*MOT\-PEBL\ U6.*
LG GB250N;.*LG-GB250.*
Pantech PG-1310V;.*PG\-1310.*
Motorola T725E;.*MOT\-T725E.*
Motorola V180;.*MOT\-V180.*
HTC Kaiser;.*HTC_TyTN_II.*
Sony Ericsson K310i;.*SonyEricssonK310.*
Samsung M3510;.*SAMSUNG\-M3510.*
Alcatel ELLE-N1;.*Alcatel\-ELLE.*
