Nombre;Comprar;Regalar;Descargar
09/01/09;312;22;0
09/02/09;205;25;0
09/03/09;351;18;0
09/04/09;343;11;0
09/05/09;193;20;0
09/06/09;426;21;0
09/07/09;262;18;0
09/08/09;332;25;0
09/09/09;340;12;0
09/10/09;468;18;0
09/11/09;438;22;0
09/12/09;403;23;0
09/13/09;403;19;0
09/14/09;365;11;0
09/15/09;356;16;0
09/16/09;298;12;0
09/17/09;294;14;0
09/18/09;270;11;0
09/19/09;321;13;0
09/20/09;360;16;0
09/21/09;362;18;0
09/22/09;341;14;0
09/23/09;303;13;0
09/24/09;208;10;0
09/25/09;199;8;0
09/26/09;176;7;0
09/27/09;226;16;0
09/28/09;193;4;0
09/29/09;227;9;0
09/30/09;213;8;0
Total;9188;454;0
