Fecha;Comprar ;Regalar;Descargar
11/01/09;325;16;0
11/02/09;412;15;0
11/03/09;228;22;0
11/04/09;168;31;0
11/05/09;436;3;0
11/06/09;453;22;0
11/07/09;241;9;0
11/08/09;223;31;0
11/09/09;456;3;0
11/10/09;185;11;0
11/11/09;179;13;0
11/12/09;413;8;0
11/13/09;262;47;0
11/14/09;144;23;0
11/15/09;462;12;0
11/16/09;497;19;0
11/17/09;452;13;0
11/18/09;235;17;0
11/19/09;177;6;0
11/20/09;272;13;0
11/21/09;331;14;0
11/22/09;268;6;0
11/23/09;198;15;0
11/24/09;225;38;0
11/25/09;284;6;0
11/26/09;320;12;0
11/27/09;358;21;0
11/28/09;262;11;0
11/29/09;158;8;0
11/30/09;473;6;0
;9097;471;0
