NipoWorld;;;;;
Id;Nombre;Autor;Comprar;Regalar;Descargar
105401;Dont trust me Benny Blanco Remix Feat Kid Cudi;3OH!3;1;0;0
104703;Corazon Partio;Alejandro Sanz;59;1;0
104705;Cuando Nadie Me Ve;Alejandro Sanz;11;1;0
104708;Ellos Son Asi;Alejandro Sanz;1;0;0
104699;12 por 8;Alejandro Sanz;1;1;0
104704;Al olvido invito yo;Alejandro Sanz;3;1;0
104700;Amiga Mia;Alejandro Sanz;32;2;0
104701;Aquello Que Me Diste;Alejandro Sanz;12;1;0
104715;Hicimos Un Trato;Alejandro Sanz;1;0;0
104717;La Margarita Dijo No;Alejandro Sanz;3;0;0
104711;Ese Que Me Dio La Vida;Alejandro Sanz;1;0;0
104710;Es Este Amor;Alejandro Sanz;0;3;0
104709;Eres Mia;Alejandro Sanz;2;0;0
104712;Ese Ultimo Momento;Alejandro Sanz;3;0;0
104713;Eso;Alejandro Sanz;2;0;0
104714;Hay Un Universo De Pequeas Cosas;Alejandro Sanz;3;0;0
104707;El Alma Al Aire;Alejandro Sanz;9;3;0
104716;Hoy llueve hoy duele;Alejandro Sanz;2;0;0
105402;Looking for paradise;Alejandro Sanz feat. Alicia Keys;32;2;0
105101;A gritos de esperanza;Alex Ubago;177;8;0
105103;Me arrepiento;Alex Ubago;1042;26;0
105102;Aunque no te pueda ver;Alex Ubago;1085;38;0
105105;Por siempre en mi mente;Alex Ubago;16;1;0
105104;Mil horas;Alex Ubago;9;0;0
105106;Te amo mas que a un mundo nuevo;Alexander;49;5;0
105108;Flaca;Andres Calamaro;22;0;0
105109;Loco Calamaro;Andres Calamaro;3;0;0
105107;Crimenes perfectos;Andres Calamaro;2;0;0
105110;Its alright;Ashley Tisdale;6;0;0
105111;Caraluna;Bacilos;24;0;0
105112;Mi primer millon;Bacilos;42;0;0
105113;Tabaco y chanel;Bacilos;152;4;0
105115;Hablame;Beto Cuevas;182;3;0
105116;Vuelvo;Beto Cuevas;8;0;0
105117;Every Rose Has Its Thorn Acoustic;Bret Michaels;1;0;0
105403;Colgando en tus manos (Remix) feat Marta Sanchez;Carlos Baute;2216;66;0
105118;Colgando en tus manos;Carlos Baute;1051;36;0
105433;Tu no sabes que tanto con Alex Ubago Directo 09;Carlos Baute;11;1;0
105126;Que Paso Yal;Casa de leones;2;0;0
105121;Discoteca;Casa de leones;1;0;0
105122;Esto es perreo;Casa de leones;3;0;0
