Id;Nombre;Autor;Comprar;Regalar;Descargar
105134;21 Guns;Green Day;165;6;0
105101;A gritos de esperanza;Alex Ubago;42;2;0
105220;About A Girl;The academy;1;0;0
104722;Adelantando;Jarabe De Palo;1;1;0
105439;Adios 2;Jesse Joy;15;1;0
105444;Alguien como tu ROCAsound mix;Luis Miguel;1;0;0
104725;Amate y salvate;La Ley;1;0;0
105135;American Idiot;Green Day;18;2;0
104700;Amiga Mia;Alejandro Sanz;8;0;0
104701;Aquello Que Me Diste;Alejandro Sanz;5;0;0
105102;Aunque no te pueda ver;Alex Ubago;1052;47;0
105114;Basket Case;Green Day;34;0;0
105200;Besa mi vida;Ricardo Montaner;2;0;0
104735;Black Dog;Led Zeppelin;3;0;0
105136;Boulevard Of Broken Dream;Green Day;223;10;0
105459;Brick By Boring Brick;Paramore;53;1;0
105111;Caraluna;Bacilos;2;0;0
105460;Careful;Paramore;8;0;0
105452;Celebration;Madonna;6;0;0
105450;Celebration Haven t I Seen You Somewhere Before;Madonna;24;1;0
105471;Chicas;Miranda;1;0;0
105440;Chocolate 2;Jesse Joy;2;0;0
105170;Clavado en un bar En vivo;Mana;77;1;0
105118;Colgando en tus manos;Carlos Baute;3151;152;0
105403;Colgando en tus manos (Remix) feat Marta Sanchez;Carlos Baute;1418;63;0
105445;Como es posible que a mi lado Hex Hector Mix;Luis Miguel;2;0;0
104702;Completamente Loca;Alejandro Sanz;1;0;0
105434;Corazon de Acero;Diego Dibos;3;0;0
104703;Corazon Partio;Alejandro Sanz;16;2;0
105131;Coro;Espacio Sideral;0;1;0
105107;Crimenes perfectos;Andres Calamaro;1;0;0
105192;crushcrushcrush;Paramore;16;0;0
104705;Cuando Nadie Me Ve;Alejandro Sanz;4;0;0
105193;Decode;Paramore;135;9;0
105171;Dejame entrar En vivo;Mana;28;2;0
104729;Delirando;La Ley;1;0;0
105189;Desolation Row;My Chemical Romance;9;0;0
105472;Don;Miranda;15;1;0
105146;Dulce Melodia;Jesse Joy;3;0;0
104707;El Alma Al Aire;Alejandro Sanz;4;1;0
105161;El Dia Que Me Quiera;Luis Miguel;4;1;0
105473;El Profe;Miranda;7;0;0
105441;Electricidad;Jesse Joy;3;0;0
105152;En cambio no;Laura Pausini;69;2;0
105162;Entregate;Luis Miguel;1;0;0
104709;Eres Mia;Alejandro Sanz;1;0;0
105201;Es asi es asi;Ricardo Montaner;1;0;0
104712;Ese Ultimo Momento;Alejandro Sanz;1;0;0
105221;Everithing we had;The academy;1;0;0
105117;Every Rose Has Its Thorn Acoustic;Bret Michaels;1;1;0
105215;Extremidades Ringback;Tego Calderon;1;0;0
105461;Feeling Sorry;Paramore;2;0;0
105108;Flaca;Andres Calamaro;27;2;0
105169;Four minutes;Madonna;2;0;0
105466;Fragilidad feat Joy;Vallin;2;0;0
105225;Go jump;Van Halen;31;1;0
105115;Hablame;Beto Cuevas;86;3;0
105455;Haven t Met You Yet;Michael Buble;5;1;0
105224;Hello I love you;The Doors;23;2;0
105194;I Caught Myself;Paramore;1;0;0
105212;I remember you;Skid Row;2;0;0
105195;Ignorance;Paramore;94;8;0
105145;Im Yours;Jason Mraz;236;8;0
105476;Iman;Miranda;1;0;0
105155;In the end;Linkin Park;334;12;0
104734;Invece no;Laura Pausini;103;0;0
105110;Its alright;Ashley Tisdale;26;1;0
105137;Know Your Enemys;Green Day;41;2;0
105163;La misma de ayer la incondicional;Luis Miguel;6;0;0
105177;Labios compartidos En vivo;Mana;448;20;0
105156;Leave Out All The Rest;Linkin Park;89;5;0
105147;Llegaste Tu;Jesse Joy;246;11;0
105109;Loco Calamaro;Andres Calamaro;2;0;0
105138;Longview;Green Day;2;0;0
105402;Looking for paradise;Alejandro Sanz feat. Alicia Keys;406;26;0
105462;Looking Up;Paramore;1;0;0
105143;Lucky;Jason Mraz;27;2;0
105103;Me arrepiento;Alex Ubago;1577;69;0
105454;Me gustas tu;Manu Chao;51;3;0
105404;Meet Me On The Equinox;Death Cab For Cutie;5;0;0
105477;Mentia;Miranda;10;1;0
104730;Mentira;La Ley;40;1;0
105456;Mentira 2;Mijares;16;1;0
105112;Mi primer millon;Bacilos;1;1;0
105478;Mi Propia Vida;Miranda;1;0;0
105191;Mienteme;Olga Tanon;1;0;0
105104;Mil horas;Alex Ubago;3;0;0
105463;Misguided Ghosts;Paramore;1;0;0
105181;Morena mia;Miguel Bose;2;0;0
105479;Navidad;Miranda;8;0;0
105183;Nena Dueto 2007;Miguel Bose;2;0;0
105157;New Divide So Give Me Reason;Linkin Park;227;8;0
105133;New York New York Master Ringback;Frank Sinatra;50;4;0
105197;Ni Tu Ni Yo Feat Paquita la del Barrio;Ricardo Arjona;2;0;0
105198;Nia Buena;Ricardo Arjona;3;0;0
105124;No Te Veo;Casa de leones;5;1;0
104720;One Of The Brightest Stars Intro;James Blunt;1;0;0
105480;Otra Vez vivo;Miranda;2;0;0
105186;Paramore;Misery Business;73;8;0
105217;Payaso Featuring Eddie Dee Voltio Ringback;Tego Calderon;1;0;0
105125;Perfecta ocasion Remix;Casa de leones;6;0;0
105105;Por siempre en mi mente;Alex Ubago;2;1;0
105153;Primavera anticipada it is my song duet with James Blun;Laura Pausini;3;0;0
105482;Prisionero;Miranda;17;1;0
105453;Revolver feat Lil Wayne;Madonna;4;0;0
105132;Right Round Featuring Keha;Flo Rida;59;4;0
105484;Romix;Miranda;1;0;0
105446;Sera que no me amas Hex Hector Mix;Luis Miguel;1;0;0
105158;Shadow Of The Day;Linkin Park;62;1;0
105139;She;Green Day;12;3;0
104721;Shine On;James Blunt;2;0;0
105172;Si no te hubieras ido En vivo 2;Mana;25;1;0
105173;Si no te hubieras ido En vivo 3;Mana;4;0;0
105174;Si no te hubieras ido En vivo 4;Mana;4;0;0
105442;Si te vas 2;Jesse Joy;7;0;0
105206;Si tu no estas aqui;Rosana;287;9;0
105185;Si Tu No Vuelves shakira;Miguel Bose;4;0;0
105199;Sin mi sin Ti;Ricardo Arjona;7;1;0
105435;Solamente una vez;Francisco Cespedes;5;0;0
105467;Solo tu feat Raquel del Rosario;Vallin;2;0;0
105210;Stars;Simply Red;2;0;0
105113;Tabaco y chanel;Bacilos;4;0;0
105202;Tan enamorados;Ricardo Montaner;10;0;0
104731;Tanta Ciudad;La Ley;1;0;0
105106;Te amo mas que a un mundo nuevo;Alexander;9;0;0
105167;Te desean;Luis Miguel;1;0;0
105436;Te extrano 2;Francisco Cespedes;2;0;0
105190;Teenager;My Chemical Romance;27;1;0
105168;Tengo Todo Excepto A Ti;Luis Miguel;5;1;0
105196;That What You Get;Paramore;30;4;0
105464;The Only Exception;Paramore;1;0;0
105140;The Simpsons Theme;Green Day;74;4;0
105405;Tocando Fondo-;Ricardo Arjona;192;7;0
105485;Traicion;Miranda;5;0;0
105486;Tu juego;Miranda;5;0;0
